MAE,RMSE,PRD,Method,CI_lo,CI_hi,MAE_QRS,MAE_base,n_QRS,n_base,per_patient,Time
0.5073,0.8859,44.2952,BiGRU,0.5061,0.5084,1.261,0.405,201014,1482058,"{'105': 0.5053519010543823, '112': 0.4969591796398163, '205': 0.487901508808136, '207': 0.7721279263496399, '209': 0.4797056019306183, '214': 0.4220123887062073, '223': 0.38096603751182556, '231': 0.5442423820495605}",0.0
0.5256,0.8928,44.6413,BiLSTM,0.5244,0.5267,1.2801,0.4232,201014,1482058,"{'105': 0.4791903495788574, '112': 0.6059709787368774, '205': 0.44374626874923706, '207': 0.8126069903373718, '209': 0.4675394296646118, '214': 0.4423038065433502, '223': 0.4384911060333252, '231': 0.5451963543891907}",0.0
0.7111,1.359,68.0794,PCHIP interpolation,0.7093,0.7127,3.3648,0.3512,201014,1482058,"{np.str_('105'): 0.7439098954200745, np.str_('112'): 0.6780730485916138, np.str_('205'): 0.5766321420669556, np.str_('207'): 0.5801887512207031, np.str_('209'): 0.8403297066688538, np.str_('214'): 0.7569572329521179, np.str_('223'): 0.6635880470275879, np.str_('231'): 0.8339550495147705}",3.729825735092163
0.7246,1.3786,68.9285,Linear interpolation,0.7228,0.7261,3.408,0.3607,201014,1482058,"{np.str_('105'): 0.752204179763794, np.str_('112'): 0.6445576548576355, np.str_('205'): 0.576702356338501, np.str_('207'): 0.6517539620399475, np.str_('209'): 0.8592303395271301, np.str_('214'): 0.7830468416213989, np.str_('223'): 0.6874698996543884, np.str_('231'): 0.8335801959037781}",1.2099528312683105
0.7248,1.3786,68.928,Savitzky-Golay interp,0.723,0.7263,3.4082,0.3609,201014,1482058,"{np.str_('105'): 0.7521046996116638, np.str_('112'): 0.6450039744377136, np.str_('205'): 0.5772937536239624, np.str_('207'): 0.6518764495849609, np.str_('209'): 0.8595361113548279, np.str_('214'): 0.7830867171287537, np.str_('223'): 0.6875874996185303, np.str_('231'): 0.8336665630340576}",5.976282835006714
0.7261,1.3579,67.9,BRITS,0.7244,0.7277,3.4013,0.3631,201107,1481965,,15678.0
0.7951,1.3534,67.6698,Mean imputation,0.7935,0.7967,3.357,0.4477,201014,1482058,"{np.str_('105'): 0.8733482956886292, np.str_('112'): 0.8742358088493347, np.str_('205'): 0.617651641368866, np.str_('207'): 0.7895273566246033, np.str_('209'): 0.7034579515457153, np.str_('214'): 0.7899938225746155, np.str_('223'): 0.769114077091217, np.str_('231'): 0.9471268653869629}",0.19074177742004395
0.815,1.4376,72.0052,Cubic spline (fixed),0.8129,0.8167,3.2232,0.4884,201014,1482058,"{np.str_('105'): 0.7987464070320129, np.str_('112'): 0.9434314370155334, np.str_('205'): 0.7308890223503113, np.str_('207'): 0.8293591737747192, np.str_('209'): 0.8160098195075989, np.str_('214'): 0.7610688209533691, np.str_('223'): 0.7096126675605774, np.str_('231'): 0.9293501377105713}",3.1103904247283936
0.8246,1.3865,69.3234,LOCF,0.8229,0.8262,3.2556,0.4949,201014,1482058,"{np.str_('105'): 0.9205431342124939, np.str_('112'): 1.0408464670181274, np.str_('205'): 0.588832437992096, np.str_('207'): 0.8833304643630981, np.str_('209'): 0.71685391664505, np.str_('214'): 0.7919527888298035, np.str_('223'): 0.7920436859130859, np.str_('231'): 0.8743258118629456}",2.079378366470337
